score,sentence1,sentence2
3.2,افرادی که لباس می پوشند در جنگلی جمع می شوند و به همان سمت می روند,افرادی که لباس می پوشند در جنگلی پراکنده می شوند و به جهات مختلف نگاه می کنند
3.635,مردم به برخی لباس های جمع شده در مجاورت جنگل نگاه می کنند,افرادی که لباس می پوشند در جنگلی جمع می شوند و به همان سمت می روند
2.4,یک دختر کوچک به دنبال زنی با لباس است,افرادی که لباس می پوشند در جنگلی پراکنده می شوند و به جهات مختلف نگاه می کنند
2.6,یک دختر کوچک به دنبال زنی با لباس است,مردم به برخی لباس های جمع شده در مجاورت جنگل نگاه می کنند
2.2,دختر جوانی در حال تماشای زنی با لباس است,افرادی که لباس می پوشند در جنگلی جمع می شوند و به همان سمت می روند
3,افرادی که لباس می پوشند در جنگلی جمع می شوند و به همان سمت می روند,دختر بچه به دنبال مردی با لباس است
2,افرادی که لباس می پوشند در جنگلی جمع می شوند و به همان سمت می روند,یک دختر بچه با لباس شبیه یک زن است
5,یک موتورسوار تنها در حال پریدن در هوا است,یک دوچرخه سوار در حال پریدن در هوا است ، به تنهایی
4.2,هیچ دوچرخه سواری در هوا نمی پرد,یک موتورسوار تنها در حال پریدن در هوا است
3,مردی در حال پریدن به داخل یک استخر خالی است,مردی در حال پریدن در یک استخر پر است
1.7,یک موتورسوار تنها در حال پریدن در هوا است,مردی در حال پریدن در یک استخر پر است
1.5,یک موتورسوار تنها در حال پریدن در هوا است,مردی در حال پریدن به داخل یک استخر خالی است
4.3,مردی که بازی می کند در حالی که توپ را در دست دارد می دود,بازیکنی با توپ در حال دویدن است
2.1,دو گروه از مردم فوتبال بازی می کنند,بازیکنی با توپ در حال دویدن است
3,دو تیم در یک بازی بیس بال با هم رقابت می کنند,بازیکنی با توپ در حال دویدن است
2.6,بازیکنی با توپ در حال دویدن است,دو تیم در یک مسابقه فوتبال با هم رقابت می کنند
3.2,پنج پایه چوبی جلوی کلبه هر کودک است,پنج کودک مقابل کلبه ای چوبی ایستاده اند
3.7,پنج بچه نزدیک هم ایستاده اند و یک بچه اسلحه دارد,پنج بچه نزدیک هم ایستاده اند و هیچ کدام از بچه ها اسلحه ندارند
2.6,پنج بچه نزدیک هم ایستاده اند و هیچ کدام از بچه ها اسلحه ندارند,پنج کودک مقابل کلبه ای چوبی ایستاده اند
2.7,پنج کودک در یک کلبه چوبی ایستاده اند,پنج بچه نزدیک هم ایستاده اند و یک بچه اسلحه دارد
2.3,پنج پایه چوبی جلوی کلبه هر کودک است,پنج بچه نزدیک هم ایستاده اند و یک بچه اسلحه دارد
4.4,پیرمردی در مزرعه ای نشسته است,مردی در مزرعه ای نشسته است
2.6,مردی در مزرعه ای نشسته است,مردی در مزرعه ای می دود
4.1,شخصی کلاه به سر دارد و روی چمن ها نشسته است,شخصی در مزرعه ای نشسته و کلاهی به سر دارد
3.9,یک آهو در حال پریدن از روی حصار است,گوزن از روی حصار نمی پرد
3.4,مردم در داخل ساختمانی قدم می زنند که نقاشی های دیواری زیادی روی آن قرار دارد,مردم در حال قدم زدن در بیرون از ساختمانی هستند که نقاشی های دیواری زیادی روی آن قرار دارد
3.5,چند نفر جلوی یک ساختمان رنگارنگ هستند,هیچ کس جلوی ساختمان رنگارنگ نیست
3.6,مردم در حال قدم زدن در بیرون از ساختمانی هستند که نقاشی های دیواری زیادی روی آن قرار دارد,هیچ کس جلوی ساختمان رنگارنگ نیست
3.6,مردم در حال قدم زدن در خارج از ساختمانی هستند که چندین نقاشی دیواری روی آن قرار دارد,چند نفر جلوی یک ساختمان رنگارنگ هستند
3.2,افراد مختلف در میزهای قرمز یک رستوران شلوغ با چراغ های بنفش مشغول غذا خوردن هستند,گروه کوچکی از مردم منتظر غذا در یک رستوران هستند
4.6,یک موتورسوار در حالی که به طرز خطرناکی در حال عبور از یک جاده در حال موتور سواری است,یک موتورسوار در امتداد جاده ای در حال موتور سواری است
4.8,مردی با کلاه ایمنی قرمز رنگ در حال رانندگی با موتور سیکلت آبی در جاده است,یک موتورسوار با کلاه ایمنی قرمز در حال رانندگی با موتور سیکلت آبی در جاده است
3.3,یک موتورسوار بدون کلاه ایمنی با موتور سیکلت آبی نزدیک جاده منتظر است,یک موتورسوار در امتداد جاده ای در حال موتور سواری است
3.7,دو سگ کنار درخت بازی می کنند,سگی در حال گرفتن چوب در هوا است و دیگری در حال تماشای آن است
2.7,دو سگ کنار درخت بازی می کنند,هیچ سگی در هوا نمی پرد
4,دختری سفید پوش در حال رقصیدن است,رقصنده در مقابل تجهیزات صدا در حال رقصیدن است
3.3,دختری سفید پوش در حال رقصیدن است,دختر بور پشت تجهیزات صدا می رقصد
3.5,دختری لباس سفید پوشیده و در حال رقص است,دختر بور مقابل تجهیزات صدا در حال رقصیدن است
3.7,سه بچه آسیایی می رقصند و یک مرد نگاه می کند,یک مرد آسیایی در حال رقص است و سه بچه در جستجوی او هستند
2.3,فرزندان یک خانواده با حوصله بازی می کنند و منتظرند,سه بچه آسیایی می رقصند و یک مرد نگاه می کند
4.3,زنی کلاه مصری بر سر دارد,زنی از روسری مصری استفاده می کند
4,زنی از روسری مصری استفاده می کند,زنی از روسری هندی استفاده می کند
2.5,یک کوهنورد در بالای کوه است و در حال رقص است,یک مرد روی صخره ای بالاتر از برخی درختان قرار دارد و در موقعیت ناراحتی ایستاده است
2.5,یک کوهنورد در بالای کوه است و در حال رقص است,هیچ مردی روی صخره ای بالاتر از برخی درختان نیست که در موقعیت عجیبی ایستاده باشد
4.1,پسری در آب سرد ایستاده است,پسری در آب ایستاده است
3.6,مردی روی صحنه مشغول نواختن گیتار است,هیچ مردی روی صحنه گیتار نمی زند
3.8,مردی روی صحنه مشغول نواختن گیتار است,شخص کچلی در حال نواختن گیتار است
4.4,دو دختر جوان روی زمین نشسته اند,دو دختر روی زمین نشسته اند
4.3,گروهی از مردم در نزدیکی اقیانوس هستند,جمعیت زیادی نزدیک آب هستند
3.8,جمعیت زیادی نزدیک آب هستند,جمعیت زیادی از آب دور هستند
4,گروهی از مردم در ساحل هستند,گروهی از مردم نزدیک دریا هستند
2.6,گروهی از مردم در ساحل هستند,گروهی از مردم در کوه هستند
4.5,یک مرد ، یک زن و دو دختر در حال قدم زدن در ساحل هستند,چهار نفر در ساحل قدم می زنند
4.6,گروهی از مردم در ساحل هستند,چهار نفر در ساحل قدم می زنند
1.4,یک مرد ، یک زن و دو دختر در حال قدم زدن در ساحل هستند,گروهی از مردم در کوه هستند
4.3,یک مرد ، یک زن و دو دختر در حال قدم زدن در ساحل هستند,گروهی از مردم در ساحل هستند
4.7,یک دختر مدرسه ای با کیسه سیاه در قطاری شلوغ است,دختری با کیسه سیاه در قطاری شلوغ است
3.7,در قطار شلوغ دختری با کیف سیاه وجود ندارد,دختری با کیسه سیاه در قطاری شلوغ است
3.8,یک زن آسیایی در میان جمعیت کیسه ای سیاه به همراه ندارد,یک زن آسیایی در میان جمعیت یک کیف سیاه به همراه دارد
2.5,دختری با کیسه سیاه در قطاری شلوغ است,یک زن آسیایی در میان جمعیت کیسه ای سیاه به همراه ندارد
2.8,یک دختر مدرسه ای با کیسه سیاه در قطاری شلوغ است,یک زن آسیایی در میان جمعیت یک کیف سیاه به همراه دارد
4.6,سگی در حال تعقیب دیگری است و چوبی را در دهان خود نگه داشته است,سگی در حال تعقیب دیگری است و یک تکه چوب را در دهان خود نگه داشته است
4.3,دو سگ می دوند و یک اسباب بازی را در دهان خود حمل می کنند,دو سگ در حال دویدن هستند و شیئی را در دهان خود حمل می کنند
3.9,سگی در حال تعقیب دیگری است و یک تکه چوب را در دهان خود نگه داشته است,دو سگ در حال دویدن هستند و شیئی را در دهان خود حمل می کنند
4,سگی در حال تعقیب دیگری است و چوبی را در دهان خود نگه داشته است,دو سگ در حال دویدن هستند و شیئی را در دهان خود حمل می کنند
4.3,یک توپ فوتبال در تور دروازه می چرخد,یک بازیکن فوتبال توپ را به دروازه می زند
4.4,مرد خالکوبی روی کاناپه خوابیده و مداد را در دست دارد,مرد خالکوبی روی مبل است و مداد را در دست دارد
2.1,مردی روی صندلی نشسته و چشمان خود را می مالد,مردی با خالکوبی روی کاناپه خوابیده و به دنبال مداد است
2,مردی با خالکوبی ، یک کاناپه را با مداد در دست گرفته است,مردی روی صندلی نشسته و چشمان خود را می مالد
4.8,مردی با لباسهای پوشیده از رنگ ، بیرون در منطقه ای شلوغ نشسته و چیزی می نویسد,مردی لباسی پوشیده است که با رنگ پوشیده شده و بیرون در منطقه ای شلوغ نشسته و چیزی می نویسد
3.7,یک مرد نشسته مشغول نوشتن چیزی در منطقه ای است که توسط رنگ پوشانده شده است,مردی لباسی پوشیده است که با رنگ پوشیده شده و بیرون در منطقه ای شلوغ نشسته و چیزی می نویسد
4.2,مردی نزدیک دوچرخه نشسته و در حال نوشتن یادداشت است,هیچ مردی در حال نوشتن یادداشت در نزدیکی دوچرخه نیست
2.6,مردی لباسی پوشیده است که با رنگ پوشیده شده و بیرون در منطقه ای شلوغ نشسته و چیزی می نویسد,مردی نزدیک دوچرخه ایستاده است و دارد روی کاغذی می نویسد
2.7,هیچ مردی در حال نوشتن یادداشت در نزدیکی دوچرخه نیست,مردی لباسی پوشیده است که با رنگ پوشیده شده و بیرون در منطقه ای شلوغ نشسته و چیزی می نویسد
3.1,مردی نزدیک دوچرخه نشسته و در حال نوشتن یادداشت است,مردی با لباسهای پوشیده از رنگ ، بیرون در منطقه ای شلوغ نشسته و چیزی می نویسد
3.5,گروهی از پیشاهنگان در چمنزارها اردو می زنند,گروهی از پیشاهنگان در حال پیاده روی در میان چمن ها هستند
4.7,برخی از افراد در حال قدم زدن هستند,مردم راه می روند
1.5,برخی از افراد در حال قدم زدن هستند,گروهی از پیشاهنگان در چمنزارها اردو می زنند
3,دو مرد در حال استراحت از سفر در جاده ای برفی هستند,دو مرد هنگام سفر در جاده ای برفی در حال سوار شدن به اتومبیل هستند
4.3,دو مرد تیرهای ماهیگیری را در دست دارند,دو مرد نزدیک آب ایستاده اند و ابزارهایی را که برای ماهیگیری استفاده می شود ، در دست دارند
4.3,یک زن در حال اجرا یک ترفند در یک سطح شیب دار با دوچرخه است,خانمی با دوچرخه می پرد
2.4,یک زن در حال اجرا یک ترفند در یک سطح شیب دار با دوچرخه است,یک زن در حال انجام یک شگرد در یک سطح شیب دار با ماشین است
2.9,دختری با کلاه ایمنی در حال دوچرخه سواری است,یک زن در حال اجرا یک ترفند در یک سطح شیب دار با دوچرخه است
4.7,یک دختر بور در حال گشت و گذار است,دختری بور موج سواری می کند
3.5,خانمی در حال موج سواری و موج سواری است,پسری در حال موج سواری و موج سواری است
4,یک زن در حال گشت و گذار است,دختری بور موج سواری می کند
3.6,خانمی در حال موج سواری و موج سواری است,یک دختر بور در حال گشت و گذار است
3,دو کودک و یک بزرگسال کنار اندام درخت ایستاده اند,دو کودک در حال بالا رفتن از یک درخت هستند
3.5,مردی که لباس سیاه پوشیده است در حال دوچرخه سواری است,مردی در حال اجرای ترفند با دوچرخه است
3.4,هیچ مردی با لباس سیاه و دوچرخه سبز وجود ندارد,مردی با دوچرخه سبز ترفند می زند
4,کودکی که می خندد اسلحه آب در دست دارد و با آب پاشیده می شود,کودکی با اسلحه ای که آب پاشش می کند در حال خندیدن و ضربه خوردن توسط پسران دیگر است
4,هیچ کودکی اسلحه آب در دست ندارد و یا با آب پاشیده نمی شود,کودکی که می خندد اسلحه آب در دست دارد و با آب پاشیده می شود
4.2,دو داشوند با توپ قرمز بازی می کنند,دو سگ با یک توپ کوچک قرمز بازی می کنند
3.3,دو گربه با یک توپ قرمز بازی می کنند,دو داشوند با توپ قرمز بازی می کنند
3.8,دو سگ قهوه ای بر سر یک توپ قرمز درگیر شده و در چمن بازی می کنند,دو سگ با یک توپ کوچک قرمز بازی می کنند
3,هیچ سگی با توپ قرمز بازی نمی کند,دو داشوند با توپ قرمز بازی می کنند
4.9,سگ سیاه و سفید در حال دویدن است و شخصی پشت سر آن ایستاده است,سگ که سیاه و سفید است در حال دویدن است و شخصی پشت سر آن می ایستد
3,سگ سیاه و سفید در حال دویدن است و شخصی پشت سر آن ایستاده است,یک سگ کوچک در حال دویدن است و شخصی که صاحب آن است سعی دارد آن را صید کند
2.9,سگ سیاه و سفید در حال دویدن است و شخصی پشت سر آن ایستاده است,سگ کوچکی سرعت خود را کم می کند و صاحب آن در حال تعقیب آن است
4.7,مردی که پیراهن مشکی رنگ شده ای روی میز نشسته و می خندد,پیراهن مشکی را مردی می پوشد که پشت میز نشسته و می خندد
3.5,پیراهن مشکی را مردی می پوشد که پشت میز نشسته و می خندد,مردی به راحتی پشت یک میز نشسته است
3.9,مردی به راحتی پشت یک میز نشسته است,مردی که پیراهن مشکی رنگ شده ای روی میز نشسته و می خندد
3.7,زنی که روسری صورتی به سر دارد از روی پل ساخته شده برای عابران پیاده دوچرخه سواری می کند,زنی که شلوار نقره ای ، زنگوله های صورتی و روسری صورتی دارد ، در حال دوچرخه سواری است
3.315,یک دوچرخه سوار برهنه است,یک دوچرخه سوار دنده ای به تن دارد که سیاه است
2.6,یک مرد کلاه ایمنی به سر دارد و دوچرخه را هل می دهد,یک دوچرخه سوار برهنه است
4.9,مردی با تی شرت خاکستری روی صخره ای مقابل آبشار نشسته است,مردی با تی شرت رنگ خاکستری رنگ ، روی صخره ای مقابل آبشار نشسته است
3.1,زنی ایستاده است و به آبشار نگاه نمی کند,زنی نشسته و به آبشار نگاه می کند
2.5,زنی ایستاده است و به آبشار نگاه نمی کند,مردی با تی شرت خاکستری روی صخره ای مقابل آبشار نشسته است
3.1,مردی با تی شرت رنگ خاکستری رنگ ، روی صخره ای مقابل آبشار نشسته است,زنی نشسته و به آبشار نگاه می کند
1.9,هیچ مردی با تی شرت خاکستری روی صخره ای مقابل آبشار نشسته است,زنی نشسته و به آبشار نگاه می کند
2.5,زنی نشسته و به آبشار نگاه می کند,یک راکر با یک تی شرت نشسته است که یک مرد روی یک آبشار خاکستری در جلو دارد
3.4,یک سگ که قهوه ای است و یک سیاه در چمن ها می دوند,هیچ سگی در چمن ها نمی دود
4.9,یک سگ سیاه تیره و یک سگ قهوه ای روشن در حیاط پشت بازی مشغول بازی هستند,یک سگ سیاه تیره و یک سگ قهوه ای روشن در حیاط خانه بازی می کنند
4,یک سگ سیاه تیره و یک سگ قهوه ای روشن در حیاط پشت بازی مشغول بازی هستند,یک سگ که قهوه ای است و یک سیاه در چمن ها می دوند
3.6,یک سگ سیاه تیره و یک سگ قهوه ای روشن در حیاط خانه در حال جنگ هستند,یک سگ که قهوه ای است و یک سیاه در چمن ها می دوند
3.1,هیچ سگی در چمن ها نمی دود,یک سگ سیاه تیره و یک سگ قهوه ای روشن در حیاط خانه بازی می کنند
4.5,یک سگ سفید و قهوه ای به سختی در میان آب قدم می زند,یک سگ سفید و قهوه ای به سختی در آب قدم می زند
3.5,گروهی از پسران در مقابل در بزرگی که از چوب ساخته شده ساکت هستند,گروهی از پسران در جلوی در بزرگی که از چوب ساخته شده با یک توپ بازی می کنند
3.4,بچه ها جلوی در بزرگی بازی نمی کنند,گروهی از پسران در جلوی در بزرگی که از چوب ساخته شده با یک توپ بازی می کنند
3.4,دسته ای از پسران در جلوی در بزرگ ساخته شده از چوب با یک توپ بازی می کنند,بچه ها جلوی یک در بزرگ بازی می کنند
3.4,بچه ها جلوی یک در بزرگ بازی می کنند,گروهی از پسران در مقابل در بزرگی که از چوب ساخته شده ساکت هستند
5,یک خانم جوان با موهای قهوه ای روشن گردنبند قرمز ، ژاکت و گوشواره بسته و لبخند می زند,یک خانم با سن کم ، موهای قهوه ای روشن ، گردنبند قرمز ، ژاکت و گوشواره دارد و لبخند می زند
2.2,پسری در حال بالا رفتن از دیواری است که به طور مصنوعی برای کوهنوردی ساخته شده و به یک طناب متصل شده است,یک پسر کوهنورد گربه ترسناک را از بالای دیوار نجات می دهد
4.1,یک پسر کوچک ترسیده روی یک دیوار کوهنوردی قرار دارد,پسری بدون زحمت از دیواری که برای صعود مصنوعی ساخته شده است بالا می رود و به یک طناب متصل است
3.9,پسری در حال بالا رفتن از دیواری است که به طور مصنوعی برای کوهنوردی ساخته شده و به یک طناب متصل شده است,یک پسر کوچک ترسیده روی یک دیوار کوهنوردی قرار دارد
4.8,این مرد در حال پرتاب یک بچه به استخر شنای نزدیک اقیانوس است,یک مرد در حال پرتاب یک بچه به استخر شنای نزدیک اقیانوس است
2.515,پدری هنگام راه اندازی دخترانش در استخر شنا است,این مرد در حال پرتاب یک بچه به استخر شنای نزدیک اقیانوس است
3.9,شخصی با طنابی جلوی سنگ ایستاده است که صورتی است,شخصی در حال بالا رفتن از صخره ای با طناب است که صورتی است
3.4,یک مرد با طناب از صخره بالا می رود,شخصی با طنابی جلوی سنگ ایستاده است که صورتی است
4.1,شخصی در حال بالا رفتن از صخره ای با طناب است که صورتی است,یک مرد با طناب از صخره بالا می رود
2.8,شخصی در حال بالا رفتن از صخره ای با طناب است که صورتی است,یک مرد با طناب از صخره پایین می آید
2.685,شخصی در حال بالا رفتن از صخره ای با طناب است که صورتی است,یک کوهنورد اجتماعی مردی را با طناب به صخره می بندد
4.1,پسر جوانی از دیواری که از سنگ ساخته شده بالا نمی رود,پسر جوان در حال بالا رفتن از دیوار ساخته شده از سنگ است
4.7,یک کودک خردسال در حال بالا رفتن از یک دیوار سنگ نوردی است که در داخل خانه قرار دارد,یک بچه جوان در حال صعود از یک دیوار سنگ نوردی است که در داخل خانه است
3.2,یک کودک خردسال در حال بالا رفتن از یک دیوار سنگ نوردی است که در داخل خانه قرار دارد,کودکی در فضای بسته در حال تماشای برنامه ای درباره چند کوهنورد جوان بر روی دیواره سنگ است.
3.4,کودکی در فضای بسته در حال تماشای برنامه ای درباره چند کوهنورد جوان بر روی دیواره سنگ است.,پسر جوان در حال بالا رفتن از دیوار ساخته شده از سنگ است
4.3,یک پسر جوان در حال بالا رفتن از دیواری است که از سنگ ساخته شده است,یک کودک خردسال در حال بالا رفتن از یک دیوار سنگ نوردی است که در داخل خانه قرار دارد
2.9,یک کوهنورد جوان برای پسران دیوار سنگ درست می کند,یک کودک خردسال در حال بالا رفتن از یک دیوار سنگ نوردی است که در داخل خانه قرار دارد
3.8,دوچرخه سوار در حال انجام یک ترفند در هوا است,دوچرخه سوار ترفندی در هوا اجرا نمی کند
4.9,یک سگ که سیاه است و یک سفید در خیابان به یکدیگر خیره شده اند,یک سگ که سیاه است و دیگری که سفید است در خیابان به یکدیگر خیره شده اند
3.1,یک سگ که سیاه است و یک سفید در خیابان به یکدیگر خیره شده اند,یک سگ سفید به خیابان سیاه خیره شده است
4.6,دو سگ از نژادهای مختلف در آن سوی خیابان با عصبانیت به یکدیگر نگاه می کنند,دو سگ از نژادهای مختلف در آن سوی خیابان به یکدیگر نگاه می کنند
3.9,دو سگ از نژادهای مختلف در آن سوی خیابان به یکدیگر نگاه می کنند,هیچ سگی از نژادهای مختلف در خیابان ها به یکدیگر نگاه نمی کنند
4.1,یک سگ که سیاه است و دیگری که سفید است در خیابان به یکدیگر خیره شده اند,دو سگ از نژادهای مختلف در آن سوی خیابان به یکدیگر نگاه می کنند
3.4,سگی در کنار درخت ، که احتمالاً یک کاج است ، در حال انداختن یک سطل است,سگی در کنار درخت که احتمالاً یک کاج است ، دارد سطلی را گاز می گیرد
5,سگی پشمالو و سیاه در حیاط خانه است و سبدی را در دهان خود حمل می کند.,سگی پشمالو و سیاه در حیاط پشتی است و سبدی را در دهان خود حمل می کند
3.7,سگی پشمالو و سیاه در حیاط پشتی است و سبدی را در دهان خود حمل می کند,هیچ سگی در حیاط پشتی خزدار و سیاه پوست وجود ندارد که سبدی را در دهان خود حمل کند.
3.2,سگی در کنار درخت که احتمالاً یک کاج است ، دارد سطلی را گاز می گیرد,هیچ سگی در حیاط پشتی خزدار و سیاه پوست وجود ندارد که سبدی را در دهان خود حمل کند.
3.4,سگی در حیاط پشتی خز سیاه را در سبدی در دهان خود حمل می کند.,سگی در کنار درخت که احتمالاً یک کاج است ، دارد سطلی را گاز می گیرد
2.8,سگی پشمالو و سیاه در حیاط پشتی است و سبدی را در دهان خود حمل می کند,سگی در کنار درخت ، که احتمالاً یک کاج است ، در حال انداختن یک سطل است
4.7,دو نفر در اندازه بزرگ روی نیمکت پارک نشسته اند و یک بطری نوشابه بین خود دارند,دو فرد بزرگ روی نیمکت پارک نشسته اند و یک بطری نوشابه دارند
4.1,دو فرد بزرگ روی نیمکت پارک نشسته اند و یک بطری نوشابه دارند,دو فرد بزرگ نزدیک نیمکت پارک ایستاده اند و هیچ چیز بین آنها نیست
3.3,یک زن و مرد به راحتی روی نیمکت نشسته اند,دو نفر در اندازه بزرگ روی نیمکت پارک نشسته اند و یک بطری نوشابه بین خود دارند
3.7,مرد در حال رقابت برای برتری است,یک مرد مسابقه را رهبری می کند
3.1,چند مرد در یک مسابقه بیرون می دوند,یک مرد مسابقه را رهبری می کند
3.7,مردی عقب مسابقه را بزرگ می کند,چند مرد در یک مسابقه بیرون می دوند
3.8,چند مرد در یک مسابقه بیرون می دوند,یک مرد مسابقه را رهبری می کند
3.6,مردی با دوربین در حال مطالعه موضوع است,هیچ مردی با دوربین در حال مطالعه موضوع نیست
3.6,مردی با دوربین در حال مطالعه موضوع است,موضوع مورد مطالعه یک مرد دوربین است
4.9,مردی با کلاه بنفش رنگ شده دوربینی را کار می کند که فیلم می سازد,مردی با کلاه بنفش دوربینی را کار می کند که فیلم می سازد
3.4,مردی با کلاه بنفش رنگ شده دوربینی را کار می کند که فیلم می سازد,مردی با دوربین در حال مطالعه موضوع است
3.2,مردی با دوربین در حال مطالعه موضوع است,مردی که کلاه بنفش دارد دوربینی که فیلم می سازد کار نمی کند
3.6,مردی با کلاه بنفش دوربینی را کار می کند که فیلم می سازد,این موضوع توسط یک مرد با دوربین در حال بررسی است
3.2,مردی با کلاه بنفش دوربینی را کار می کند که فیلم می سازد,هیچ مردی با دوربین در حال مطالعه موضوع نیست
2.8,موضوع مورد مطالعه یک مرد دوربین است,مردی با کلاه بنفش دوربینی را کار می کند که فیلم می سازد
3.3,مردی با کلاه بنفش دوربینی را کار می کند که فیلم می سازد,مردی با دوربین در حال مطالعه موضوع است
4.8,عروس و داماد بعد از ازدواج می روند,عروس و داماد بعد از عروسی در حال رفتن هستند
4.3,عروس و داماد پس از عروسی می رسند,عروس و داماد بعد از عروسی در حال رفتن هستند
4.4,یک زوج متاهل در حال عبور از راهرو هستند,یک زوج متاهل در حال گذر از راهرو هستند
3.6,عروس و داماد بعد از ازدواج می روند,یک زوج متاهل در حال گذر از راهرو هستند
4,عروس و داماد پس از عروسی می رسند,یک زوج متاهل در حال گذر از راهرو هستند
2.6,یک زوج متاهل در حال گذر از راهرو هستند,عروس پس از عروسی داماد را ترک می کند
3.4,یک زوج متاهل در حال گذر از راهرو هستند,عروس و داماد بعد از عروسی در حال رفتن هستند
4.8,این کلاس توسط دانش آموزان در کلاس مشاهده می شود,این کلاس با حضور دانش آموزان کلاس برگزار می شود
3.4,این کلاس با حضور دانش آموزان کلاس برگزار می شود,یک کلاس مملو از دانش آموزان است
3,این کلاس توسط دانش آموزان در کلاس مشاهده می شود,یک کلاس خالی است
3.2,پسری که روی تپه ای پوشیده از برف است کت قرمز و کلاهی سیاه بر سر دارد و روی زانوهاش می لغزد,پسری در پایین تپه ای پوشیده از برف برهنه است و روی زانوها نشسته است
3.5,پسری که روی تپه ای پوشیده از برف است کت قرمز و کلاهی سیاه بر سر دارد و روی زانوهاش می لغزد,پسری که روی سرسره قرمز و سیاه است ژاکت و کلاه به سر دارد و زانوهایی دارد که برف پوشیده است
3.4,پسری که روی تپه ای پوشیده از برف است کت قرمز و کلاهی سیاه بر سر دارد و روی زانوهاش می لغزد,بچه هنوز در برف است
4.5,یک زن و یک سگ با آرامش روی کنده درخت نشسته اند,یک زن و یک سگ روی کنده درخت نشسته اند
4.4,زنی که پیر است ، نزدیک سگی است که کت سفید دارد,زنی که پیر است ، نزدیک سگ سفید است
2.4,زنی که پیر است از سگ سفید دور است,یک زن و یک سگ روی کنده درخت نشسته اند
3.5,مردی در حال آبیاری چمن ها است و با هیجان با یک سگ بازی می کند,سگی با هیجان در چمن با آب بازی می کند
4.4,دو نفر در برف هستند و لباسی پوشیده اند که استتار می کند,برخی از مردم در برف هستند ، لباسهایی را پوشیده اند که استتار می کند
2.7,دو نفر در برف هستند و لباسی پوشیده اند که استتار می کند,دو نفر در حال راه رفتن دو سگ با کت های طلایی در برف هستند
2.2,هیچ دختری وجود ندارد که تی شرت بپوشد و دهان خود را باز نگه دارد,دختری از آسیا ، جلوی پنجره آجری ، متعجب به نظر می رسد
2.4,دختری از آسیا ، جلوی پنجره ای که از آجر ساخته شده ، متعجب به نظر می رسد,دختری تی شرت پوشیده و دهانش باز است.
2.1,دختری از آسیا ، جلوی پنجره آجری ، تعجب آور به نظر نمی رسد,دختری تی شرت پوشیده و دهانش باز است.
2.3,هیچ شخصی با چرخ دنده دوچرخه وجود ندارد که به طور ثابت در مقابل کوه ایستاده باشد,گروهی از افراد به تجهیزات حفاظتی مجهز هستند
2,گروهی از افراد مجهز به چرخ دنده ای هستند که برای محافظت استفاده می شود,شخصی که دارای تجهیزات دوچرخه سواری است به طور ثابت در مقابل برخی کوه ها ایستاده است
4.6,بچه کوچک در حال بازی فوتبال است و بی ضرر به زمین می افتد,بچه کوچک در حال بازی فوتبال است و در چمن می افتد
